District code,State name,District Name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Television,Households_with_Telephone_Mobile_Phone,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000
519,MAHARASHTRA,Mumbai,3085411,1684608,1400803,2509022,1410680,1098342,1284396,1021009,263387,1209334,75062,1801015,625927,0,1107321,1107321,118967,399792,603937,665263,378764,343374,2567141,262312,2829453,1553005,933586,583243,56086,80168,543699,602209,610641,427208,273,7707,465,453,3741,85525,541324,1100,623468,275,36524,69186,105710,102012,369160,153428,113720,128284,34584,409944,74432,15197,18184,2446,541,135178,1001
520,MAHARASHTRA,Raigarh,2634200,1344345,1289855,1939994,1059692,880302,1072969,753843,319126,858825,214144,1561231,547206,581868,377160,959028,231263,407662,335886,441072,221410,204507,1861740,482420,2344160,1414154,748339,462741,136247,43536,374021,453122,547214,369857,61663,65017,3801,4337,3956,184021,338725,1871,440717,36724,32108,68582,100690,94793,362797,157065,110939,109995,23032,418185,69416,12537,14741,1833,371,94172,279
521,MAHARASHTRA,Pune,9429408,4924105,4505303,7171723,3940210,3231513,4048993,2809816,1239177,3751221,297772,5380415,1925019,1165718,2056739,3222457,559840,1234549,1383055,1414563,867256,1086650,6736249,1353077,8089326,5184734,2624165,1586132,735590,273326,1555272,1792197,1915302,1531966,168164,179132,5200,6905,17983,367187,1575922,7919,1674141,102403,96584,236257,332841,352685,1286031,568235,365111,364149,93586,1426982,280248,62953,74115,9251,1911,295262,905
522,MAHARASHTRA,Ahmadnagar,4543159,2342825,2200334,3151890,1773355,1378535,2204590,1300309,904281,2039455,165135,2338569,677592,1041393,282011,1323404,483996,833691,580959,745895,411908,315842,3404595,1061271,4465866,2496560,1166245,865139,443393,41423,474009,639160,685370,415902,243307,142331,2801,6091,18379,255756,483467,5641,454298,76924,33434,82081,115515,96430,495176,217812,180934,226142,64915,578365,172714,45226,54165,7323,1616,96504,701
523,MAHARASHTRA,Bid,2585049,1349106,1235943,1718507,987185,731322,1255548,727819,527729,1154708,100840,1329501,402052,563114,135457,698571,309704,436446,280800,316758,206530,129996,1691672,821607,2513279,1473882,614615,494436,119991,12836,205352,346380,374363,136943,104531,188216,698,3311,7332,212361,209824,2818,230929,65540,16817,54460,71277,57981,296136,118905,119250,151010,26650,375614,96737,18848,22161,2761,552,50561,396
524,MAHARASHTRA,Latur,2454196,1273140,1181056,1650672,932432,718240,1046857,670018,376839,964177,82680,1407339,381722,428616,157016,585632,268627,423711,296910,380344,224998,153256,1765952,596213,2362165,1406364,584243,453229,108626,13150,190739,302745,380772,178478,47969,132136,368,647,6775,157775,231657,3949,276749,78205,11663,37583,49246,47525,257585,103991,106069,134259,33059,324131,85186,21152,26122,3973,997,38710,373
525,MAHARASHTRA,Osmanabad,1657576,861535,796041,1137810,644304,493506,773916,473795,300121,701894,72022,883660,240042,367158,77832,444990,183972,300965,201646,260772,139479,96847,1193594,440363,1633957,917343,393539,343021,93061,7974,117741,200323,271812,96586,29560,105563,221,929,5286,133374,148545,6954,197371,52455,14578,36802,51380,38462,190464,78207,73795,87928,18988,239940,56487,12180,14708,2101,427,37625,262
526,MAHARASHTRA,Solapur,4317756,2227852,2089904,2910676,1651266,1259410,1898395,1206933,691462,1763175,135220,2419361,595560,779929,376302,1156231,390337,788150,535848,643327,328020,236302,2951035,976795,3927830,2402794,1089900,809935,419488,28219,376000,576726,698690,355107,140885,193008,879,7892,10562,305670,427955,5263,489698,69961,34195,77570,111765,92587,469237,198967,177683,215367,62612,564956,145894,41088,50093,7339,1666,98038,627
527,MAHARASHTRA,Satara,3003741,1510842,1492899,2225694,1201034,1024660,1354947,844805,510142,1184407,170540,1648794,562653,774522,200949,975471,288427,495822,407977,556706,299993,243457,2313266,545423,2858689,1517324,800492,671702,246949,36046,374085,463058,575804,455235,57989,89747,8291,1780,3989,166005,419171,1207,470030,43779,34375,67378,101753,83191,359607,157231,119185,137863,40776,401102,111364,27333,32495,4263,899,95038,437
528,MAHARASHTRA,Ratnagiri,1615069,761121,853948,1199392,619012,580380,714076,407008,307068,554973,159103,900993,367352,538538,100824,639362,163025,378554,269872,247257,111600,65700,1251437,319622,1571059,777431,438905,396967,49177,15191,163470,258015,348019,273162,76316,20957,12540,4400,1639,144837,184194,2223,237852,16054,37275,60252,97527,61760,212475,84254,66461,68615,14762,246068,43462,7172,8615,1183,260,95234,233
529,MAHARASHTRA,Sindhudurg,849651,417332,432319,666067,348289,317778,347178,229676,117502,226538,120640,502473,194228,295847,44989,340836,86480,165284,134734,175070,89023,48418,702460,121922,824382,382024,242296,222963,39669,9264,98475,131855,181343,155696,97574,7546,4621,677,705,61473,111982,1206,62947,5910,19204,29971,49175,32456,114147,46485,35206,34018,7779,133398,22973,3810,4590,614,166,44158,107
530,MAHARASHTRA,Kolhapur,3876001,1980658,1895343,2825845,1559760,1266085,1704054,1125204,578850,1508563,195491,2171947,770005,796496,382818,1179314,321457,622362,487227,698604,395234,335413,2901125,778000,3679125,1972486,1084858,801590,383946,49081,507573,595768,771669,612194,33730,64763,3686,2727,5886,160556,611991,2714,701593,44231,31720,74454,106174,117330,502014,228697,155987,166043,47252,533856,145947,34973,40799,4774,1052,100881,530
531,MAHARASHTRA,Sangli,2822143,1435728,1386415,2049467,1121550,927917,1215104,800214,414890,1074948,140156,1607039,485126,626872,226801,853673,208511,507318,459156,453404,244804,214003,2124179,579039,2703218,1450907,752303,603739,335852,29515,310230,415009,517310,380072,74738,98215,606,2577,6357,140103,379231,2240,393990,58025,26079,56682,82761,76036,331678,143725,111917,131446,39342,371741,106679,27036,32051,4106,909,74756,409
532,ANDHRA PRADESH,Adilabad,2741239,1369597,1371642,1483347,856350,626997,1323667,748939,574728,1066460,257207,1417572,566108,597466,220248,817714,232470,344167,281752,225957,143143,100226,1346992,1030640,2377632,1536378,704551,422522,150289,8338,306433,403530,378259,191052,93294,267233,2294,3303,7390,212025,229686,1521,270862,79354,27018,80780,107798,103066,417387,182282,132039,114585,12000,503266,58377,6455,7297,722,120,82830,648
533,ANDHRA PRADESH,Nizamabad,2551335,1250641,1300694,1389810,790214,599596,1261076,684320,576756,1055965,205111,1290259,545913,565165,155133,720298,269487,421399,338668,396396,223365,141850,1804547,1041862,2846409,1399773,676401,437573,212631,10088,308270,428744,428790,245523,8125,114151,391,335,14269,218935,242762,823,450359,78420,23207,67384,90591,94217,379595,163189,122189,107972,12575,432299,68637,8050,9206,988,168,80591,661
534,ANDHRA PRADESH,Karimnagar,3776269,1880800,1895469,2206829,1257238,949591,1876768,1049463,827305,1590304,286464,1899501,926768,877236,288044,1165280,340372,453505,482842,463403,293493,256633,2325560,1280393,3605953,1940234,1031735,728494,406211,14175,589283,691495,675283,452865,133499,135427,1037,305,23433,197387,633350,299,681510,65437,55169,146503,201672,166249,649211,306232,176730,120450,9406,746836,91081,8368,9357,860,129,133465,961
535,ANDHRA PRADESH,Medak,3033288,1523030,1510258,1637137,953406,683731,1442203,837874,604329,1195494,246709,1591085,604719,593653,195479,789132,324267,503713,481984,373729,201928,127493,2029580,1199818,3229398,1735769,779738,509368,232114,14362,349304,482440,421856,293838,9627,149702,319,316,9422,228110,278173,386,494042,92845,19664,65211,84875,96457,419073,178179,144437,140018,22798,482906,92770,14040,16643,2160,443,74445,786
536,ANDHRA PRADESH,Hyderabad,3943323,2018575,1924748,2892155,1542688,1349467,1413297,1045585,367712,1096081,317216,2530026,869721,0,1066289,1066289,230962,596591,685215,811501,517425,558090,3445721,556902,4002623,2249130,1068243,542669,229561,124106,746818,799174,873099,868186,913,8759,621,84,6777,47880,814362,1196,862054,6139,20495,90415,110910,135609,546260,236179,174472,181806,42536,692697,73154,16242,20914,3555,1117,94747,416
537,ANDHRA PRADESH,Rangareddy,5296741,2701008,2595733,3538028,1948784,1589244,2196078,1488916,707162,1834777,361301,3100663,1211352,432098,1129224,1561322,457916,756588,809283,821821,598940,740896,4242880,1158473,5401353,2966988,1455864,738037,271193,125225,949853,1094233,1101926,1028259,9025,110943,780,532,38646,201184,907391,898,1099746,72143,30005,139283,169288,221294,865161,400555,243312,195938,33327,998111,118251,18705,22088,2862,521,125264,785
538,ANDHRA PRADESH,Mahbubnagar,4053028,2050386,2002642,1940646,1158386,782260,2082501,1140067,942434,1815643,266858,1970527,757821,848963,161052,1010015,419379,596134,441585,308575,169083,98227,2049104,1604319,3653423,2360874,1027525,637430,151754,12615,362791,570261,508140,231015,5990,166074,1908,2595,11889,329098,290371,774,681260,58931,25689,79590,105279,120964,541398,225428,195006,191259,35923,632870,116194,19694,23895,3474,727,100900,1068
539,ANDHRA PRADESH,Nalgonda,3488809,1759772,1729037,2001019,1160757,840262,1741693,976428,765265,1493419,248274,1747116,789225,833504,197433,1030937,369537,518669,471233,367424,238695,196134,2188695,1294811,3483506,1932349,897137,651748,286559,18927,464172,588791,479824,355700,28731,162241,763,1096,78943,298874,347474,258,598439,66625,45165,120169,165334,144858,578886,270974,163054,119437,11775,655150,89307,8970,10032,935,127,120943,968
540,ANDHRA PRADESH,Warangal,3512576,1759281,1753295,2065023,1179790,885233,1705655,960926,744729,1442197,263458,1806921,828077,758738,288249,1046987,314252,457529,454322,430242,279234,248942,2212184,1191252,3403436,1891954,941452,664872,311837,15727,462819,568508,504897,388583,67830,174218,1117,507,40479,216245,461825,698,597926,70325,43692,124347,168039,144960,593070,285338,162772,117016,10428,676526,90062,8344,9354,879,131,112611,938
541,ANDHRA PRADESH,Khammam,2797370,1390988,1406382,1630234,901640,728594,1410062,802906,607156,1215871,194191,1387308,668519,669262,201363,870625,295639,346118,329630,238811,154774,160804,1551232,875272,2426504,1530602,774583,477955,267852,11887,416734,427722,403739,360531,46922,210458,1327,4467,9819,240615,354579,889,468045,61127,39441,120442,159883,144836,512966,254089,114041,69643,5094,575647,55189,4220,4616,346,50,112134,732
542,ANDHRA PRADESH,Srikakulam,2703114,1341738,1361376,1495381,857824,637557,1290288,766483,523805,936244,354044,1412826,615432,752752,149684,902436,291793,348354,319244,251521,146721,121213,1499877,1009992,2509869,1423119,747385,528736,180824,5264,297418,332230,178089,146386,199161,282509,2719,10077,3531,394989,107308,1567,179917,85253,42847,86481,129328,118149,464451,224481,121821,85869,9675,506897,66546,7462,8385,811,112,107495,743
543,ANDHRA PRADESH,Vizianagaram,2344474,1161477,1182997,1238388,707503,530885,1157962,679289,478673,953215,204747,1186512,527736,592458,157056,749514,250446,300057,257468,186576,115144,103591,1240323,1031683,2272006,1206366,666394,451469,168297,5002,278230,265587,242486,131289,73701,246172,6785,2591,1015,396943,95138,2588,259205,59276,30854,74473,105327,104907,403386,192867,105612,80085,7807,440182,65254,6261,6993,645,87,84176,613
544,ANDHRA PRADESH,Visakhapatnam,4290589,2138910,2151679,2568249,1422878,1145371,1889879,1239064,650815,1481139,408740,2400710,1010250,718847,660493,1379340,414636,568178,649271,541942,329770,289734,2837695,1418851,4256546,2274553,1245627,716066,297276,46469,666976,657824,679351,577722,81562,319590,62111,5855,9949,494827,384258,1601,634191,145141,54096,144655,198751,214294,786438,380992,191152,129455,11522,868660,92853,8305,9143,717,121,155510,877
545,ANDHRA PRADESH,East Godavari,5154296,2569688,2584608,3288577,1716933,1571644,2093681,1545831,547850,1748117,345564,3060615,1297273,1199479,406362,1605841,669420,947606,797497,521562,271809,263023,3518619,1524603,5043222,2724328,1478954,948122,779052,25381,821421,732492,869464,800168,121195,342767,4440,6523,11217,558347,613789,5684,908806,40397,95856,239150,335006,275218,952492,468704,208570,112434,7478,1085890,85895,6477,7007,450,80,228618,1274
546,ANDHRA PRADESH,West Godavari,3936966,1964918,1972048,2652389,1379223,1273166,1773112,1199338,573774,1534166,238946,2163854,1017568,1007255,248373,1255628,595331,718960,585595,415178,215863,207586,2771842,1028767,3800609,2051513,1127764,755533,605463,14687,648607,578252,720167,694857,20184,126299,264,8333,7707,338966,593261,10333,900503,17816,70587,193110,263697,211052,724609,363280,150277,82492,4982,830550,71679,5319,5684,329,36,167867,1011
547,ANDHRA PRADESH,Krishna,4517398,2267375,2250023,3009718,1598959,1410759,2048880,1327299,721581,1744978,303902,2468518,1163932,909292,567042,1476334,618101,692968,630603,531821,312753,328454,3169428,1352499,4521927,2340943,1284630,833959,525079,27969,794346,743696,897201,863417,87080,205072,1490,1097,17143,387804,611878,6592,903992,43371,81004,218150,299154,235751,824868,417156,171961,95350,7885,955030,81787,6370,6886,449,67,183554,1054
548,ANDHRA PRADESH,Guntur,4887813,2440521,2447292,2960441,1634726,1325715,2381624,1442370,939254,2106326,275298,2506189,1186028,1069877,513113,1582990,736270,845810,674957,453446,246580,221924,3209266,1474349,4683615,2583462,1371811,928462,454586,17424,816849,733133,904201,762845,67710,428749,1299,4238,35872,465404,554667,5833,739450,73453,83026,212589,295615,229537,842985,413160,200288,139120,10111,972992,117838,10388,11313,821,104,185688,1119
549,ANDHRA PRADESH,Prakasam,3397448,1714764,1682684,1904435,1107686,796749,1700567,991842,708725,1463508,237059,1696881,763746,873486,214089,1087575,489805,495556,368919,249034,142026,133627,1900943,1218310,3119253,1832695,917391,641707,226045,9071,468022,494689,528518,321332,91097,244709,3379,2055,24112,406577,197300,6529,481021,78693,51012,130198,181210,144923,548015,251635,151457,115932,12119,643184,89358,10022,11413,1186,205,113321,855
550,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,2963557,1492974,1470583,1832189,1011922,820267,1314561,859880,454681,1076544,238017,1648996,696024,689137,264376,953513,437438,451130,370710,267243,161031,148394,1863811,940785,2804596,1574713,840448,544022,162980,11661,486148,443579,519318,306095,51084,167584,798,1514,14690,326288,338967,1077,529838,56033,50886,124620,175506,145951,510984,243234,121799,79487,6648,581823,64736,6336,7048,608,104,119018,711
551,ANDHRA PRADESH,Y.S.R.,2882469,1451777,1430692,1716766,994699,722067,1320404,823886,496518,1079903,240501,1562065,671764,590589,293504,884093,408650,509166,413364,258798,140145,116330,1862684,893657,2756341,1553667,793583,530412,130524,7558,409629,439641,586881,314726,4347,82945,1137,2078,13297,374889,238688,86,598146,25759,35964,93139,129103,119726,455759,201211,134822,106666,11608,530163,70984,8397,9509,953,159,92480,678
552,ANDHRA PRADESH,Kurnool,4053463,2039227,2014236,2127161,1246369,880792,2029425,1164122,865303,1757520,271905,2024038,816721,783853,306982,1090835,521327,672951,466940,271828,152453,115504,2220285,1517933,3738218,2368684,1053618,609027,271815,10622,543044,572406,702120,353289,17204,138946,5694,6352,5342,431425,227045,3297,696977,38696,29425,86663,116088,120568,547505,238908,188029,181675,31914,652567,109416,18819,22549,3071,659,92650,1042
553,ANDHRA PRADESH,Anantapur,4081148,2064495,2016653,2310960,1338474,972486,2036166,1208544,827622,1679655,356511,2044982,897970,902997,341431,1244428,462273,720357,582075,331793,162175,144915,2426929,1369069,3795998,2189396,1104565,739612,206433,9915,559461,581087,755971,353948,5049,117001,552,469,16086,528245,225275,201,819675,43685,36633,106460,143093,156107,644263,291388,196768,153243,20566,718794,115052,15584,17947,1994,369,109372,969
554,ANDHRA PRADESH,Chittoor,4174064,2090204,2083860,2667878,1484794,1183084,1933357,1202223,731134,1669852,263505,2240707,944555,907970,395900,1303870,522961,770836,673197,548336,265199,246409,3062955,1170993,4233948,2148179,1159053,807430,225856,16296,611465,632803,754648,382377,8192,135531,349,548,38931,539408,342011,494,835606,92651,55151,132169,187320,175853,678054,311451,190750,142837,13905,757090,105579,10901,12183,1103,179,147264,1021
555,KARNATAKA,Belgaum,4779661,2423063,2356598,3052032,1725548,1326484,2105668,1372422,733246,1734501,371167,2673993,808827,962777,356198,1318975,544564,1057297,609600,532584,279583,201884,3282133,1346776,4628909,2669348,1251116,857143,519937,35104,468274,641485,779974,316225,124332,262330,4088,24013,10062,392344,340306,4006,520520,186601,37652,82149,119801,122453,550977,229331,199193,226927,66120,644950,146890,38909,48893,7746,2238,123092,1016
556,KARNATAKA,Bagalkot,1889752,950111,939641,1113412,641388,472024,818081,511575,306506,676407,141674,1071671,301389,324799,165858,490657,242336,385986,147397,171505,115095,82319,1170429,608843,1779272,1123443,465706,299774,153879,9726,161280,234284,272956,66813,12682,99744,809,9810,3988,166611,102487,724,225386,73403,14665,27809,42474,40032,183541,70342,73167,95192,34170,229586,54042,17545,23049,4097,1407,48700,380
557,KARNATAKA,Bijapur,2177331,1111022,1066309,1248268,730566,517702,927722,580111,347611,760083,167639,1249609,326594,396449,131041,527490,246391,430477,143199,182756,129109,96990,1253491,746979,2000470,1295274,527085,353549,161995,11722,164015,284523,297164,73300,50159,142779,976,6429,4927,161163,104504,1239,195318,50631,12850,28819,41669,40215,202950,76206,86529,121864,38593,269069,64643,21459,28159,5019,1681,43205,447
558,KARNATAKA,Bidar,1703300,870665,832635,1042673,597198,445475,702608,459050,243558,551763,150845,1000692,271439,287134,102269,389403,188998,474921,194233,181076,105347,54900,1212360,515395,1727755,1018195,397120,287271,102869,9724,116314,187983,214601,72805,42806,93538,1571,584,5289,120499,92061,1226,158928,53317,8519,21648,30167,28370,150730,53752,68608,107588,25036,216975,52444,11996,15020,2465,559,29082,377
559,KARNATAKA,Raichur,1928812,964511,964301,979769,577213,402556,903413,530373,373040,725985,177428,1025399,314547,330446,125402,455848,147743,385673,163709,153346,82082,50463,997638,783126,1780764,1196670,465173,265810,120959,11104,162411,242634,286629,74326,16224,76635,6695,11289,4105,141853,86575,22053,219549,42399,11501,27037,38538,39557,178262,67172,71533,109289,33248,245971,52518,14498,18639,3022,1119,42209,438
560,KARNATAKA,Koppal,1389920,699926,689994,809085,468785,340300,654766,387974,266792,508089,146677,735154,223166,272968,64681,337649,222140,357098,127605,113028,72243,43967,946512,472182,1418694,855430,330393,202984,97577,6211,113995,166636,218749,47931,5231,57314,228,2060,1708,127416,58883,4503,186903,39908,8663,19194,27857,28367,131395,49603,53425,75020,25124,175862,36424,11419,14711,2468,824,32399,317
561,KARNATAKA,Gadag,1064570,537147,527423,700177,397178,302999,495722,310412,185310,423451,72271,568848,198064,180066,111906,291972,121615,244640,112703,105150,63816,42053,702799,306138,1008937,601578,279069,183409,73191,5205,104708,128416,191541,45668,4690,29366,424,1914,2064,96873,63805,19603,156686,18113,8697,18430,27127,27970,121985,48139,45876,51064,15426,146711,28500,8075,10233,1670,488,30158,218
562,KARNATAKA,Dharwad,1847023,937206,909817,1301664,711776,589888,784833,543776,241057,690948,93885,1062190,347962,199707,283397,483104,252596,383041,185530,227113,143453,137768,1363803,428556,1792359,1017935,505688,322577,111313,21127,233604,266330,349008,212091,2403,40704,140,2568,2689,106104,213137,22327,300159,33936,12363,32050,44413,52869,223035,92142,78024,79875,24731,259494,45952,13714,17758,3053,991,48850,289
563,KARNATAKA,Uttara Kannada,1437169,726256,710913,1081906,582099,499807,608526,430565,177961,498304,110222,828643,290791,334281,140511,474792,198632,338390,183534,210270,108521,94767,1156990,277857,1434847,742281,412649,281542,122891,13152,168026,218382,291554,189843,185103,23515,4547,2818,3186,85273,186452,4762,87791,13926,15950,30374,46324,48618,197940,84244,65078,61437,14211,220681,34399,6947,8827,1389,491,56005,268
564,KARNATAKA,Haveri,1597668,819128,778540,1085443,603793,481650,730066,490731,239335,601951,128115,867602,295937,315076,98488,413564,240925,430529,201965,158442,84357,55310,1188358,383494,1571852,904453,426094,266586,117943,5681,155076,194815,288495,121420,834,70577,87,2445,3687,164716,91633,748,244655,61867,10102,25544,35646,42726,195266,80865,71675,75502,19042,229883,42560,10776,13722,2281,665,39291,353
565,KARNATAKA,Bellary,2452595,1236954,1215641,1421621,813440,608181,1116880,703258,413622,969388,147492,1335715,440374,371604,251876,623480,275785,529576,219702,203139,121453,89475,1468497,787762,2256259,1487013,617276,346905,164714,14163,291101,327050,417150,156110,4739,70652,2431,5832,3754,202155,164676,4356,388435,53592,15029,36995,52024,58834,267798,107207,101757,127026,34856,338539,66300,16362,20496,3285,849,56369,415
566,KARNATAKA,Chitradurga,1659456,840843,818613,1087392,607188,480204,856587,513311,343276,667479,189108,802869,307257,349704,97644,447348,188329,332648,196470,217567,132435,75262,1164789,452975,1617764,891230,460057,306412,102607,7425,174344,206637,270699,107142,1341,112447,299,545,2359,190306,86859,1250,232128,88921,11497,29092,40589,48344,213641,91516,73781,81805,18108,243077,54314,10778,12905,1748,379,43847,365
567,KARNATAKA,Davanagere,1945497,986400,959097,1308540,720637,587903,875207,585639,289568,705099,170108,1070290,372671,354680,176011,530691,242130,446793,206686,269748,154781,123863,1476376,467414,1943790,1068518,538551,336173,146389,15449,256051,284572,353628,188046,3072,109075,305,4433,2370,208670,121315,529,282186,92179,10904,31291,42195,54589,249307,109193,85525,89741,23597,285888,54132,12634,15775,2466,675,49045,406
568,KARNATAKA,Shimoga,1752753,877415,875338,1263016,674938,588078,780598,534487,246111,652789,127809,972155,363835,352444,201662,554106,191641,385978,292481,251095,132138,111753,1383122,355222,1738344,913150,513297,325542,165796,20781,259899,299155,369749,286129,79835,43431,3548,2161,2886,168665,181024,3762,262501,36589,14967,37377,52344,65181,269559,124966,79412,67079,13157,292771,45042,7655,9248,1284,309,55078,336
569,KARNATAKA,Udupi,1177361,562131,615230,926429,465704,460725,513241,335399,177842,459446,53795,664120,224814,269817,115572,385389,142493,286193,176260,178094,109663,107279,1018426,204028,1222454,559565,340903,276234,79637,21349,173033,220948,229830,214808,166257,12889,462,1072,3063,33715,185404,2023,45737,9990,11115,23243,34358,34943,136103,58352,42808,53755,22097,156127,28839,7088,9418,1764,566,51929,209
570,KARNATAKA,Chikmagalur,1137961,566622,571339,818345,438257,380088,565774,357889,207885,480229,85545,572187,238505,311660,80766,392426,114570,257550,160083,177585,96470,72420,891309,204371,1095680,564994,341380,230864,76379,15446,169969,196527,246504,167369,21964,46657,4438,5006,1974,128194,108037,3607,186014,35987,11977,28314,40291,48104,182344,84585,49655,42270,7268,194153,33374,4902,5721,668,151,38925,239
571,KARNATAKA,Tumkur,2678980,1350594,1328386,1813391,1006024,807367,1354646,837512,517134,1078431,276215,1324334,562769,685443,204799,890242,270373,500593,386998,423738,213588,143735,1969712,686274,2655986,1351461,760936,564196,276586,14929,321848,372910,519944,206821,5715,192247,346,360,6703,350215,163780,518,425369,152051,32503,67398,99901,109455,407282,183042,114785,110970,18241,441261,86767,13095,15383,1881,407,92983,613
572,KARNATAKA,Bangalore,9621551,5022661,4598890,7512276,4078041,3434235,4246927,3115361,1131566,3858342,388585,5374624,2330631,300576,2967384,3267960,599794,1509693,1629870,2018079,1196965,1733274,8886074,1304048,10190122,5275666,2909575,1424195,545433,414862,2042977,2180792,2330659,2254599,6734,400927,1512,2239,65221,398896,1826106,7720,1880155,389833,106098,314411,420509,507145,1589908,711895,370868,310842,55797,1761300,204798,32702,38968,5103,1163,371990,809
573,KARNATAKA,Mandya,1805769,905085,900684,1149649,638668,510981,871408,575203,296205,714901,156507,934361,391033,458867,103435,562302,145178,309476,226552,308624,157839,102838,1270494,504734,1775228,902307,527236,375100,192330,8188,236020,265094,388674,159818,5650,84217,353,673,2085,208469,160714,132,330827,58173,18494,41173,59667,72440,281659,131996,77223,72273,12979,297441,56457,9232,10999,1467,300,61681,408
574,KARNATAKA,Hassan,1776421,883667,892754,1225256,668836,556420,903580,560452,343128,752387,151193,872841,400702,496103,132878,628981,182255,354480,232531,292369,147837,103152,1340398,401227,1741625,877340,522039,375918,138247,14979,272295,307439,403052,171212,9610,140251,633,1165,1807,217341,147920,856,272269,103177,19258,43577,62835,74226,290412,139331,76855,67234,8811,311242,54910,7365,8430,897,168,54710,390
575,KARNATAKA,Dakshina Kannada,2089649,1034714,1054935,1666323,864019,802304,997721,620903,376818,914476,83245,1091928,386300,332919,317373,650292,191317,520715,296110,309141,178989,185916,1718483,298846,2017329,1072417,608450,407902,69944,47655,285365,375945,404062,394069,172955,37994,2291,1988,5299,57564,337171,8529,185763,34891,14240,36967,51207,65931,255603,109915,79757,87861,30620,289936,49688,12553,16035,2820,662,69632,340
576,KARNATAKA,Kodagu,554519,274608,279911,412877,215302,197575,278938,172100,106838,258753,20185,275581,113931,181182,31792,212974,51287,111562,75291,86232,54939,43225,430787,91352,522139,276918,163360,113919,20075,16963,83016,104109,125535,112626,38445,16972,2188,2943,987,44500,76018,2450,66724,13535,8568,19579,28147,25415,89880,40686,23779,17490,2786,100643,12563,1703,1952,214,35,23145,116
577,KARNATAKA,Mysore,3001127,1511600,1489527,1962180,1063766,898414,1314268,921803,392465,1082108,232160,1686859,640868,540596,380386,920982,207091,537686,404565,452412,222230,212541,2063359,747237,2810596,1580116,865220,553705,252546,40420,441131,472605,611989,378503,7698,102506,607,3666,4136,211890,409885,891,567444,56899,27738,67567,95305,118632,457208,215723,122853,113521,22388,498019,82418,13731,16156,2041,384,91829,535
578,KARNATAKA,Chamarajanagar,1020791,512231,508560,565279,312957,252322,481693,324326,157367,381408,100285,539098,212156,262680,57200,319880,82487,204765,132421,109361,57053,34799,630486,401643,1032129,519046,294903,206003,95957,3122,112332,122899,175226,57295,7018,74782,363,994,2222,122866,77087,188,155514,44366,12355,27336,39691,41687,157051,71093,44271,40877,6579,172496,30529,4284,4960,566,110,36213,238
579,KARNATAKA,Gulbarga,2566326,1301755,1264571,1427368,828359,599009,1087028,680001,407027,844237,242791,1479298,404767,400704,199303,600007,177860,579057,270622,290570,153746,104256,1596603,883704,2480307,1570719,604665,388935,118463,12872,222126,307848,340251,118792,46557,138402,1526,6730,3951,174993,146124,532,264350,68364,13541,31790,45331,43936,217746,77749,96061,158370,43798,321938,72477,19470,25287,4454,1363,45543,761
580,KARNATAKA,Yadgir,1174271,590329,583942,510003,306751,203252,547696,317135,230561,437241,110455,626575,156222,207787,55208,262995,98481,204926,77942,73599,40104,27728,527414,579042,1106456,738451,267222,168186,37532,4365,61249,118907,139493,22523,22321,74477,857,3397,2015,79400,39739,1431,94346,24386,6101,12279,18380,17439,82995,29090,36466,71470,27579,128441,33798,11442,15322,2864,1016,22863,347
581,KARNATAKA,Kolar,1536401,776396,760005,1016219,564110,452109,717872,454048,263824,584590,133282,818529,309494,326567,151042,477609,138015,289841,228422,225498,107929,71422,1079088,399089,1478177,841499,419380,274240,127046,9208,209698,223139,242038,141675,3002,95198,61,76,17105,143255,85949,4309,208954,92512,12543,29989,42532,46381,200532,88678,65473,72881,15045,232108,44931,8177,10062,1472,413,43889,477
