S.No.,State Code,State Name,District Code,District Name,Area (km2)[5],Population (2011)[5],Population density (per km2),Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Television,Households_with_Telephone_Mobile_Phone,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households
52,12,Arunachal Pradesh,239,Tirap,2362,111975,47,57604,54371,47974,29313,18661,50169,27545,22624,44262,5907,61806,16026,18420,6500,24920,13585,16989,12077,7834,4305,2134,57106,50628,107734,71785,25669,14423,963,679,6118,7182,6582,16937,1425,133,3127,1627,748,7290,4989,384,11931,117,944,1418,2362,1989,7974,2960,3025,6681,2468,13124,3072,482,565,71,12,2724
53,12,Arunachal Pradesh,240,Upper Siang,6188,33146,5,18699,16621,18195,10723,7472,17644,9968,7676,14524,3120,17676,6198,8569,2182,10751,3952,5584,4915,2935,2211,1349,20992,11209,32201,21090,8910,5252,136,430,2823,3491,2714,4413,7,1,220,35,114,3801,2537,5,6796,1,795,833,1628,837,2749,934,978,2100,709,4865,631,66,87,15,6,1603
54,12,Arunachal Pradesh,241,Upper Subansiri,7032,83205,12,41758,41690,45278,24807,20471,33370,17898,15472,25717,7653,50078,5373,14542,4672,19214,10219,16118,15339,10348,8017,4276,64790,28364,93154,56054,20055,7230,782,569,3580,3653,5007,6658,112,47,903,978,1629,7080,3847,106,11712,11,364,1162,1526,1714,6935,2530,2691,6174,906,12018,1285,167,227,41,19,2011
55,12,Arunachal Pradesh,242,West Kameng,7422,87013,12,46155,37792,48492,29566,18926,42493,28313,14180,34752,7741,41454,14188,17889,6306,24195,8836,10317,8428,5633,3987,2693,40193,25606,65799,53026,22362,8493,348,1299,8634,7942,7421,8253,30,92,775,693,470,7026,6902,254,14074,92,1439,1689,3128,2447,8509,3294,2768,4146,622,11500,1003,105,132,22,5,3770
56,12,Arunachal Pradesh,243,West Siang,8325,112272,12,58168,54106,64746,36777,27969,49177,29156,20021,43000,6177,63097,14204,22272,8503,30775,14227,17675,15908,11441,8418,6030,74220,27956,102176,70415,28305,13469,2129,1964,9593,10217,10692,15800,199,541,882,914,437,7809,9685,27,17389,84,1017,1395,2412,1944,8169,2896,3329,7494,2399,13982,2874,493,631,108,30,2987
57,18,Assam,739,Bajali,418,253816,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,18,Assam,616,Baksa,2457,950075,387,481330,468745,572837,322614,250223,406756,266611,140145,278297,128459,543319,44425,291641,3580,295221,95444,195643,225635,96782,53446,15422,684211,294784,978995,563089,256282,130083,137745,2479,36032,86067,31673,75132,41955,129609,1706,6254,3557,42591,107389,691,5135,6036,3672,11310,14982,24575,111895,45221,42099,52735,11055,138055,26641,4986,6191,950,255,19780
59,18,Assam,280,Barpeta,3182,1693622,532,867004,826618,897058,499038,398020,561824,445297,116527,439453,122371,1131798,84804,447189,52192,499381,210607,307884,300845,121924,87377,46947,1083591,664161,1747752,1072312,405046,215355,181352,5560,55319,151699,97152,243504,12995,296555,479,7691,12151,74876,220128,976,5966,20547,8117,23690,31807,47692,190552,74238,68622,95730,20383,261844,36749,7012,8510,1213,285,31369
60,18,Assam,705,Biswanath,1415,612491,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,18,Assam,281,Bongaigaon,1093,738804,676,375818,362986,434078,237114,196964,255806,197542,58264,191671,64135,482998,49866,181923,38470,220393,93591,138294,133643,55924,35491,20221,479431,260721,740152,458796,184849,94939,97820,5837,36350,78595,47000,84687,46422,85906,418,2463,3750,28239,103898,159,8885,10563,4790,10961,15751,23471,85826,34496,27859,39096,9614,109693,15859,3079,3822,612,131,20913
62,18,Assam,282,Cachar,3786,1736319,459,886284,850333,1174128,639946,534182,608062,469752,138310,471259,136803,1128555,140205,346227,88933,435160,256855,447993,379469,156156,79766,45341,1378531,357907,1736438,1048990,444899,241776,93297,8700,99887,168487,159266,298041,98179,18687,8090,39475,2045,169873,80138,60245,134160,11692,16072,40838,56910,61055,203831,76457,66319,93340,13962,277244,25131,3324,4092,623,145,61576
63,18,Assam,708,Charaideo,1069,471418,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
