S.No.,State Code,State Name,District Code,District Name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Non_Workers,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households
35,12,Arunachal Pradesh,232,East Siang,251,99214,50116,49098,62576,34210,28366,40222,23591,16631,58992,4866,14231,450,1582,19497,9524,9938,13713,13968,10937,9498,6540,65119,21543,86662,61993,25334,11802,18182,8399,11735,733,3798,485,633,194,1447,7331,7504,135,12954,455,1215,1598,2813,1966,8102,2950,3186,6270,1910,4260,13537,2123,358,446,62,26,2989
36,12,Arunachal Pradesh,718,Kamle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,12,Arunachal Pradesh,786,Keyi Panyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,12,Arunachal Pradesh,677,Kra Daadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,12,Arunachal Pradesh,233,Kurung Kumey,256,92076,45318,46758,36606,20258,16348,38044,18429,19615,54032,586,3911,95,969,18603,1092,12661,15054,12264,6997,4353,2031,53659,42621,96280,64379,20713,6836,15498,2173,4066,951,99,3613,2385,1725,8113,7920,1688,390,6770,99,184,648,832,1247,5358,1898,2213,8718,1054,6354,12003,2146,329,403,52,22,1410
40,12,Arunachal Pradesh,724,Leparada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,12,Arunachal Pradesh,234,Lohit,259,145726,76221,69505,83062,48380,34682,60945,38910,22035,84781,6549,17157,312,1471,33599,11372,19306,25179,20643,13070,7612,5180,91574,52421,143995,94890,35493,15195,27644,11806,17327,925,16855,104,1739,456,2480,7993,16365,181,8500,2548,1667,2314,3981,3828,15082,5588,5666,8813,1531,5049,21917,2652,386,447,50,11,4391
42,12,Arunachal Pradesh,666,Longding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,12,Arunachal Pradesh,235,Lower Dibang Valley,258,54080,28053,26027,31849,18087,13762,22326,14102,8224,31754,3068,5932,207,742,12000,3950,5875,7957,7351,5508,3570,2795,33141,14406,47547,35140,13254,5652,10559,4945,6143,154,2577,81,750,222,1069,3148,5416,16,7059,139,926,1038,1964,1399,5222,1975,1848,3048,649,2319,7625,977,116,151,26,9,2130
44,12,Arunachal Pradesh,719,Lower Siang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,12,Arunachal Pradesh,236,Lower Subansiri,255,83030,41843,41187,54057,29470,24587,30202,17339,12863,52828,4211,12493,381,1598,18112,5365,8492,10821,11661,9861,7674,5230,54034,17273,71307,55258,20305,7412,14643,8804,11232,505,142,425,600,346,1540,5240,7800,169,12831,142,960,1225,2185,1636,5721,2058,2027,5450,1778,2094,10649,1513,260,358,77,21,2614
46,12,Arunachal Pradesh,678,Namsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,12,Arunachal Pradesh,723,Pakke Kessang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,12,Arunachal Pradesh,237,Papum Pare,248,176573,89182,87391,121048,65794,55254,65772,41263,24509,110801,22966,30539,2477,7418,20308,30180,15368,21956,21376,20007,17342,13840,110815,30360,141175,120592,43812,11856,31671,23052,25706,2472,662,976,1653,409,3384,9481,19772,346,25063,502,1943,3138,5081,4629,16296,6373,5294,9382,2717,4223,24776,2474,435,559,86,38,5667
49,12,Arunachal Pradesh,725,Shi Yomi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,12,Arunachal Pradesh,679,Siang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,12,Arunachal Pradesh,238,Tawang,245,49977,29151,20826,26073,17720,8353,28561,19554,9007,21416,3794,8635,96,494,10730,2452,4904,4730,4029,2140,1989,1379,19838,19203,39041,30709,13849,5399,9277,3562,7026,16,8,772,165,820,1797,3654,3806,40,7643,8,1194,1203,2397,1580,4886,1777,1529,2034,160,2017,6239,323,19,21,2,0,2894
52,12,Arunachal Pradesh,239,Tirap,254,111975,57604,54371,47974,29313,18661,50169,27545,22624,61806,3104,16026,98,888,18420,6500,13585,16989,12077,7834,4305,2134,57106,50628,107734,71785,25669,14423,18949,6582,16937,1425,133,3127,1627,748,5886,7290,4989,384,11931,117,944,1418,2362,1989,7974,2960,3025,6681,2468,7206,13124,3072,482,565,71,12,2724
53,12,Arunachal Pradesh,240,Upper Siang,252,35320,18699,16621,18195,10723,7472,17644,9968,7676,17676,1504,6198,97,392,8569,2182,3952,5584,4915,2935,2211,1349,20992,11209,32201,21090,8910,5252,6946,2714,4413,7,1,220,35,114,374,3801,2537,5,6796,1,795,833,1628,837,2749,934,978,2100,709,848,4865,631,66,87,15,6,1603
54,12,Arunachal Pradesh,241,Upper Subansiri,249,83448,41758,41690,45278,24807,20471,33370,17898,15472,50078,3123,5373,139,750,14542,4672,10219,16118,15339,10348,8017,4276,64790,28364,93154,56054,20055,7230,15025,5007,6658,112,47,903,978,1629,3616,7080,3847,106,11712,11,364,1162,1526,1714,6935,2530,2691,6174,906,4614,12018,1285,167,227,41,19,2011
55,12,Arunachal Pradesh,242,West Kameng,246,83947,46155,37792,48492,29566,18926,42493,28313,14180,41454,7133,14188,202,887,17889,6306,8836,10317,8428,5633,3987,2693,40193,25606,65799,53026,22362,8493,14843,7421,8253,30,92,775,693,470,2192,7026,6902,254,14074,92,1439,1689,3128,2447,8509,3294,2768,4146,622,2477,11500,1003,105,132,22,5,3770
56,12,Arunachal Pradesh,243,West Siang,250,112274,58168,54106,64746,36777,27969,49177,29156,20021,63097,6115,14204,303,1300,22272,8503,14227,17675,15908,11441,8418,6030,74220,27956,102176,70415,28305,13469,19907,10692,15800,199,541,882,914,437,2260,7809,9685,27,17389,84,1017,1395,2412,1944,8169,2896,3329,7494,2399,2980,13982,2874,493,631,108,30,2987
57,18,Assam,739,Bajali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,18,Assam,616,Baksa,324,950075,481330,468745,572837,322614,250223,406756,266611,140145,543319,11281,44425,1175,13566,291641,3580,95444,195643,225635,96782,53446,15422,684211,294784,978995,563089,256282,130083,153083,31673,75132,41955,129609,1706,6254,3557,12208,42591,107389,691,5135,6036,3672,11310,14982,24575,111895,45221,42099,52735,11055,40687,138055,26641,4986,6191,950,255,19780
59,18,Assam,280,Barpeta,303,1693622,867004,826618,897058,499038,398020,561824,445297,116527,1131798,50806,84804,2078,25286,447189,52192,210607,307884,300845,121924,87377,46947,1083591,664161,1747752,1072312,405046,215355,188162,97152,243504,12995,296555,479,7691,12151,21297,74876,220128,976,5966,20547,8117,23690,31807,47692,190552,74238,68622,95730,20383,43468,261844,36749,7012,8510,1213,285,31369
60,18,Assam,705,Biswanath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,18,Assam,281,Bongaigaon,319,738804,375818,362986,434078,237114,196964,255806,197542,58264,482998,29937,49866,2523,12959,181923,38470,93591,138294,133643,55924,35491,20221,479431,260721,740152,458796,184849,94939,91788,47000,84687,46422,85906,418,2463,3750,6790,28239,103898,159,8885,10563,4790,10961,15751,23471,85826,34496,27859,39096,9614,18150,109693,15859,3079,3822,612,131,20913
62,18,Assam,282,Cachar,316,1736617,886284,850333,1174128,639946,534182,608062,469752,138310,1128555,62135,140205,5316,37541,346227,88933,256855,447993,379469,156156,79766,45341,1378531,357907,1736438,1048990,444899,241776,357096,159266,298041,98179,18687,8090,39475,2045,109855,169873,80138,60245,134160,11692,16072,40838,56910,61055,203831,76457,66319,93340,13962,118032,277244,25131,3324,4092,623,145,61576
63,18,Assam,708,Charaideo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,18,Assam,612,Chirang,320,482162,244860,237302,259902,145869,114033,193894,128762,65132,288268,8135,22502,747,8627,129018,11613,64999,92943,84682,37792,17702,6594,305630,172939,478569,301518,122244,58282,61760,14176,27951,41035,42206,1215,2572,4739,8834,24143,51384,308,2988,8255,2404,6847,9251,14332,54620,20890,19398,28026,5362,21732,71993,11734,1841,2253,329,83,11279
65,18,Assam,283,Darrang,325,928500,475273,453227,487039,268666,218373,324843,246864,77979,603657,17676,45444,1166,12084,268517,20189,119027,163277,161153,59039,47398,22267,575240,375556,950796,583436,226525,118102,89914,46789,95080,9761,162815,216,3593,4532,9808,43447,110458,1467,4865,7467,5759,13648,19407,28435,106839,42950,35454,50693,11113,34147,144343,18049,2852,3432,470,110,22228
66,18,Assam,284,Dhemaji,308,686133,351249,334884,423028,237761,185267,316800,186577,130223,369333,16547,28195,1192,10410,211758,16504,79107,138838,136371,80804,55399,28006,521393,194984,716377,434221,169630,82051,118022,37742,57995,9430,102172,409,7501,2753,14237,38063,71165,3574,2965,36334,2272,6031,8303,14583,69390,27022,27785,41922,9944,20331,93934,20387,3840,4715,710,165,10523
67,18,Assam,285,Dhubri,301,1949258,997848,951410,922341,511551,410790,669819,524898,144921,1279439,28963,72232,1828,26263,460602,60417,253638,299724,250242,100387,65082,34401,1007337,992068,1999405,1286592,439375,221745,198446,87966,179665,21276,349907,2392,9235,20943,34055,81196,270415,1485,7876,34613,18270,44048,62318,67723,226003,84144,74136,106940,19428,63078,324883,28748,4773,5814,843,198,55244
68,18,Assam,286,Dibrugarh,310,1326335,676434,649901,884531,491361,393170,560557,368013,192544,765778,76292,136685,8817,34479,299852,77163,143189,243607,301287,139813,89500,59380,983760,340744,1324504,767147,371864,186774,262021,177759,214721,8469,227877,264,1931,2950,5810,69884,184468,665,29708,65235,7689,20405,28094,40321,161208,65072,55815,70958,12681,18589,196644,36264,6273,7610,1086,251,32423
69,18,Assam,299,Dima Hasao,315,214102,110802,103300,140873,78559,62314,85028,56323,28705,129074,9202,19389,524,3753,37610,21309,20780,43811,53736,27839,10859,5565,163188,57631,220819,135463,53699,24830,37697,15921,29780,11120,148,5984,9462,1257,18070,15300,7654,1367,10812,65,2325,3219,5544,5781,21582,8187,7614,12856,2906,19934,31634,3610,480,566,73,13,7078
70,18,Assam,287,Goalpara,302,1008183,513292,494891,563577,304302,259275,362573,267118,95455,645610,21455,78641,1364,13524,228610,39504,124700,213510,183904,73683,39885,18294,657440,375071,1032511,650509,239831,117427,112139,60181,129311,53175,126514,2042,3609,6063,11852,44095,115683,138,4201,9092,5075,13846,18921,28639,108374,42030,37705,56821,13429,37767,149008,22705,3711,4475,636,128,21357
