S.No.,State Code,State Name,District Code,District Name,Area (km2)[5],Population (2011)[5],Population density (per km2)
234,2.0,Himachal Pradesh,17.0,Hamirpur,1118,454768,407
234,2.0,Himachal Pradesh,17.0,Hamirpur,4021,1104285,275
235,2.0,Himachal Pradesh,18.0,Kangra,5739,1510075,263
236,2.0,Himachal Pradesh,19.0,Kinnaur,6401,84121,13
237,2.0,Himachal Pradesh,20.0,Kullu,5503,437903,80
238,2.0,Himachal Pradesh,21.0,Lahaul and Spiti,7835,18564,1
239,2.0,Himachal Pradesh,22.0,Mandi,3950,999777,250
240,2.0,Himachal Pradesh,23.0,Shimla,5131,814010,159
241,2.0,Himachal Pradesh,24.0,Sirmaur,2825,529855,188
242,2.0,Himachal Pradesh,25.0,Solan,1936,580320,300
243,2.0,Himachal Pradesh,26.0,Una,1540,521173,338
244,1.0,Jammu And Kashmir,1.0,Anantnag   ,"3,574","1,070,144",
245,1.0,Jammu And Kashmir,623.0,Bandipora,,,
246,1.0,Jammu And Kashmir,3.0,Baramulla   ,"4,243","1,015,503",
247,1.0,Jammu And Kashmir,2.0,Budgam   ,"1,361","735,753",
248,1.0,Jammu And Kashmir,4.0,Doda  ,2625,409576,
249,1.0,Jammu And Kashmir,626.0,Ganderbal   ,"1,045","297,003",
250,1.0,Jammu And Kashmir,5.0,Jammu  ,2342,1526406,
251,1.0,Jammu And Kashmir,7.0,Kathua  ,2502,615711,
252,1.0,Jammu And Kashmir,620.0,Kishtwar  ,7737,231037,
253,1.0,Jammu And Kashmir,622.0,Kulgam   ,410,"422,786",
254,1.0,Jammu And Kashmir,8.0,Kupwara   ,"2,379","875,564",
255,1.0,Jammu And Kashmir,10.0,Poonch  ,1674,476820,
256,1.0,Jammu And Kashmir,11.0,Pulwama   ,"1,086","570,060",
257,1.0,Jammu And Kashmir,12.0,Rajouri  ,2630,619266,
258,1.0,Jammu And Kashmir,621.0,Ramban  ,1329,283313,
259,1.0,Jammu And Kashmir,627.0,Reasi  ,1719,314714,
260,1.0,Jammu And Kashmir,624.0,Samba  ,904,318611,
261,1.0,Jammu And Kashmir,625.0,Shopian   ,312,"265,960",
262,1.0,Jammu And Kashmir,13.0,Srinagar   ,"1,979","1,269,751",
263,1.0,Jammu And Kashmir,14.0,Udhampur  ,2367,555357,
264,20.0,Jharkhand,322.0,Bokaro,2883,2062330,715
265,20.0,Jharkhand,323.0,Chatra,3718,1042886,280
266,20.0,Jharkhand,324.0,Deoghar,2477,1492073,602
267,20.0,Jharkhand,325.0,Dhanbad,2040,2684487,1316
268,20.0,Jharkhand,326.0,Dumka,3761,1321442,351
269,20.0,Jharkhand,327.0,East Singhbhum,3562,2293919,644
270,20.0,Jharkhand,328.0,Garhwa,4093,1322784,323
271,20.0,Jharkhand,329.0,Giridih,4962,2445474,493
272,20.0,Jharkhand,330.0,Godda,2266,1313551,580
273,20.0,Jharkhand,331.0,Gumla,5360,1025213,191
274,20.0,Jharkhand,332.0,Hazaribagh,3555,1734495,488
275,20.0,Jharkhand,333.0,Jamtara,1811,791042,437
276,20.0,Jharkhand,606.0,Khunti,2535,531885,210
277,20.0,Jharkhand,334.0,Koderma,,,
278,20.0,Jharkhand,335.0,Latehar,4291,726978,169
279,20.0,Jharkhand,336.0,Lohardaga,1502,461790,307
280,20.0,Jharkhand,337.0,Pakur,1811,900422,497
281,20.0,Jharkhand,338.0,Palamu,4393,1939869,442
282,20.0,Jharkhand,607.0,Ramgarh,1341,949443,708
283,20.0,Jharkhand,339.0,Ranchi,5097,2914253,572
284,20.0,Jharkhand,340.0,Sahebganj,,,
285,20.0,Jharkhand,341.0,Saraikela-Kharsawan,2657,1065056,401
286,20.0,Jharkhand,342.0,Simdega,3774,599578,159
287,20.0,Jharkhand,343.0,West Singhbhum,7224,1502338,208
288,29.0,Karnataka,524.0,Bagalkote,6575,1889752,288
289,29.0,Karnataka,528.0,Ballari,4252,1400970,290
290,29.0,Karnataka,527.0,Belagavi,13415,4779661,356
291,29.0,Karnataka,526.0,Bengaluru Rural,2259,990923,431
292,29.0,Karnataka,525.0,Bengaluru Urban,2190,9621551,4393
293,29.0,Karnataka,529.0,Bidar,5448,1703300,313
294,29.0,Karnataka,531.0,Chamarajanagar,5101,1020791,181
295,29.0,Karnataka,630.0,Chikkaballapura,4524,1255104,296
296,29.0,Karnataka,532.0,Chikkamagaluru,7201,1137961,158
297,29.0,Karnataka,533.0,Chitradurga,8440,1659456,197
298,29.0,Karnataka,534.0,Dakshina Kannada,4560,2089649,430
299,29.0,Karnataka,535.0,Davanagere,4460,1643494,370
300,29.0,Karnataka,536.0,Dharwad,4260,1847023,434
301,29.0,Karnataka,537.0,Gadag,4656,1064570,229
302,29.0,Karnataka,539.0,Hassan,6814,1776421,261
303,29.0,Karnataka,540.0,Haveri,4823,1597668,331
304,29.0,Karnataka,538.0,Kalaburagi,10951,2566326,234
305,29.0,Karnataka,541.0,Kodagu,4102,554519,135
306,29.0,Karnataka,542.0,Kolar,3969,1536401,386
307,29.0,Karnataka,543.0,Koppal,7189,1389920,250
308,29.0,Karnataka,544.0,Mandya,4961,1805769,364
309,29.0,Karnataka,545.0,Mysuru,6854,3001127,476
310,29.0,Karnataka,546.0,Raichur,8440,1928812,228
311,29.0,Karnataka,631.0,Ramanagara,,,
312,29.0,Karnataka,547.0,Shivamogga,8477,1752753,207
313,29.0,Karnataka,548.0,Tumakuru,10597,2678980,253
314,29.0,Karnataka,549.0,Udupi,3880,1177361,329
315,29.0,Karnataka,550.0,Uttara Kannada,10291,1437169,140
316,29.0,Karnataka,738.0,Vijayanagara,5644,1353628,240
317,29.0,Karnataka,530.0,Vijayapura,10498,2177331,210
318,29.0,Karnataka,635.0,Yadgir,,,
319,32.0,Kerala,554.0,Alappuzha,1415,2146033,
320,32.0,Kerala,555.0,Ernakulam,2924,3427659,
321,32.0,Kerala,556.0,Idukki,4612,1093156,
322,32.0,Kerala,557.0,Kannur,2966,2615266,
323,32.0,Kerala,558.0,Kasaragod,1989,1390894,
324,32.0,Kerala,559.0,Kollam,2483,2659431,
325,32.0,Kerala,560.0,Kottayam,2206,1983573,
326,32.0,Kerala,561.0,Kozhikode,2345,3249761,
327,32.0,Kerala,562.0,Malappuram,3554,4494998,
328,32.0,Kerala,563.0,Palakkad,4482,2952254,
329,32.0,Kerala,564.0,Pathanamthitta,2652,1172212,
330,32.0,Kerala,565.0,Thiruvananthapuram,2189,3355148,
331,32.0,Kerala,566.0,Thrissur,3027,3243170,
332,32.0,Kerala,567.0,Wayanad,2130,846637,
333,37.0,Ladakh,6.0,Kargil,14086,140802,
334,37.0,Ladakh,9.0,Leh Ladakh,,,
335,31.0,Lakshadweep,553.0,Lakshadweep District,,,
336,23.0,Madhya Pradesh,667.0,Agar Malwa,2785,571275,205
337,23.0,Madhya Pradesh,639.0,Alirajpur,3182,728999,229
338,23.0,Madhya Pradesh,390.0,Anuppur,3746,749237,200
339,23.0,Madhya Pradesh,391.0,Ashoknagar,4674,845071,181
340,23.0,Madhya Pradesh,392.0,Balaghat,9229,1701698,184
341,23.0,Madhya Pradesh,393.0,Barwani,5432,1385881,255
342,23.0,Madhya Pradesh,394.0,Betul,10043,1575362,157
343,23.0,Madhya Pradesh,395.0,Bhind,4459,1703005,382
344,23.0,Madhya Pradesh,396.0,Bhopal,2772,2371061,855
345,23.0,Madhya Pradesh,397.0,Burhanpur,2473,757847,306
346,23.0,Madhya Pradesh,398.0,Chhatarpur,8687,1762375,203
347,23.0,Madhya Pradesh,399.0,Chhindwara,10293,1716612,177
348,23.0,Madhya Pradesh,400.0,Damoh,7306,1264219,173
349,23.0,Madhya Pradesh,401.0,Datia,2038,786754,386
350,23.0,Madhya Pradesh,402.0,Dewas,7020,1563715,223
351,23.0,Madhya Pradesh,403.0,Dhar,8153,2185793,268
352,23.0,Madhya Pradesh,404.0,Dindori,7427,704524,95
353,23.0,Madhya Pradesh,406.0,Guna,6485,1241519,191
354,23.0,Madhya Pradesh,407.0,Gwalior,5214,2032036,390
355,23.0,Madhya Pradesh,408.0,Harda,3339,570465,171
356,23.0,Madhya Pradesh,410.0,Indore,3898,3276697,841
357,23.0,Madhya Pradesh,411.0,Jabalpur,5210,2463289,473
358,23.0,Madhya Pradesh,412.0,Jhabua,6782,1025048,151
359,23.0,Madhya Pradesh,413.0,Katni,4927,1292042,262
360,23.0,Madhya Pradesh,405.0,Khandwa (East Nimar),,,
361,23.0,Madhya Pradesh,414.0,Khargone (West Nimar),,,
362,23.0,Madhya Pradesh,784.0,Maihar,2722.79,856028,314
363,23.0,Madhya Pradesh,415.0,Mandla,5805,1054905,182
364,23.0,Madhya Pradesh,416.0,Mandsaur,5530,1340411,242
365,23.0,Madhya Pradesh,766.0,Mauganj,1866,616645,331
366,23.0,Madhya Pradesh,417.0,Morena,4991,1965970,394
367,23.0,Madhya Pradesh,409.0,Narmadapuram,6698,1241350,185
368,23.0,Madhya Pradesh,418.0,Narsimhapur,,,
369,23.0,Madhya Pradesh,419.0,Neemuch,4267,826067,194
370,23.0,Madhya Pradesh,722.0,Niwari,1170,404807,346
371,23.0,Madhya Pradesh,785.0,Pandhurna,1522,374310,246
372,23.0,Madhya Pradesh,420.0,Panna,7135,1016520,142
373,23.0,Madhya Pradesh,421.0,Raisen,8446,1331597,158
374,23.0,Madhya Pradesh,422.0,Rajgarh,6154,1545814,251
375,23.0,Madhya Pradesh,423.0,Ratlam,4861,1455069,299
376,23.0,Madhya Pradesh,424.0,Rewa,6434,1748461,368
377,23.0,Madhya Pradesh,425.0,Sagar,10252,2378458,232
378,23.0,Madhya Pradesh,426.0,Satna,7502,2228935,297
379,23.0,Madhya Pradesh,427.0,Sehore,6578,1311332,199
380,23.0,Madhya Pradesh,428.0,Seoni,8758,1379131,157
381,23.0,Madhya Pradesh,429.0,Shahdol,6205,1066063,172
382,23.0,Madhya Pradesh,430.0,Shajapur,3460,941403,272
383,23.0,Madhya Pradesh,431.0,Sheopur,6585,687861,104
384,23.0,Madhya Pradesh,432.0,Shivpuri,10278,1726050,168
385,23.0,Madhya Pradesh,433.0,Sidhi,4851,1127033,230
386,23.0,Madhya Pradesh,638.0,Singrauli,5672,1178273,208
387,23.0,Madhya Pradesh,434.0,Tikamgarh,3878,1040359,268
388,23.0,Madhya Pradesh,435.0,Ujjain,6091,1986864,326
389,23.0,Madhya Pradesh,436.0,Umaria,4026,644758,160
390,23.0,Madhya Pradesh,437.0,Vidisha,7371,1458875,198
391,27.0,Maharashtra,466.0,Ahilyanagar,,,
392,27.0,Maharashtra,467.0,Akola,5428,1813906,300.78
393,27.0,Maharashtra,468.0,Amravati,12235,2888445,206.4
394,27.0,Maharashtra,470.0,Beed,10693,1200334,207.04
395,27.0,Maharashtra,471.0,Bhandara,3717,2585049,305.58
396,27.0,Maharashtra,472.0,Buldhana,9661,2586258,230.63
397,27.0,Maharashtra,473.0,Chandrapur,11443,2204307,193.65
398,27.0,Maharashtra,469.0,Chhatrapati Sambhajinagar,,,
399,27.0,Maharashtra,488.0,Dharashiv,,,
400,27.0,Maharashtra,474.0,Dhule,7195,2050862,211.83
401,27.0,Maharashtra,475.0,Gadchiroli,14412,1072942,67.33
402,27.0,Maharashtra,476.0,Gondia,5234,1322507,247.81
403,27.0,Maharashtra,477.0,Hingoli,4526,1177345,218.11
404,27.0,Maharashtra,478.0,Jalgaon,11765,4229917,312.79
405,27.0,Maharashtra,479.0,Jalna,7687,1959046,211.82
406,27.0,Maharashtra,480.0,Kolhapur,7685,3876001,457.44
407,27.0,Maharashtra,481.0,Latur,7157,2454196,282.19
