S.No.,State Code,State Name,District Code,District Name,Area (km2)[5],Population (2011)[5],Population density (per km2)
292,29,Karnataka,525,Bengaluru Urban,2190,9621551,4393
293,29,Karnataka,529,Bidar,5448,1703300,313
294,29,Karnataka,531,Chamarajanagar,5101,1020791,181
295,29,Karnataka,630,Chikkaballapura,4524,1255104,296
296,29,Karnataka,532,Chikkamagaluru,7201,1137961,158
297,29,Karnataka,533,Chitradurga,8440,1659456,197
298,29,Karnataka,534,Dakshina Kannada,4560,2089649,430
299,29,Karnataka,535,Davanagere,4460,1643494,370
300,29,Karnataka,536,Dharwad,4260,1847023,434
301,29,Karnataka,537,Gadag,4656,1064570,229
302,29,Karnataka,539,Hassan,6814,1776421,261
303,29,Karnataka,540,Haveri,4823,1597668,331
304,29,Karnataka,538,Kalaburagi,10951,2566326,234
305,29,Karnataka,541,Kodagu,4102,554519,135
306,29,Karnataka,542,Kolar,3969,1536401,386
307,29,Karnataka,543,Koppal,7189,1389920,250
308,29,Karnataka,544,Mandya,4961,1805769,364
309,29,Karnataka,545,Mysuru,6854,3001127,476
310,29,Karnataka,546,Raichur,8440,1928812,228
311,29,Karnataka,631,Ramanagara,,,
312,29,Karnataka,547,Shivamogga,8477,1752753,207
313,29,Karnataka,548,Tumakuru,10597,2678980,253
314,29,Karnataka,549,Udupi,3880,1177361,329
315,29,Karnataka,550,Uttara Kannada,10291,1437169,140
316,29,Karnataka,738,Vijayanagara,5644,1353628,240
317,29,Karnataka,530,Vijayapura,10498,2177331,210
318,29,Karnataka,635,Yadgir,,,
319,32,Kerala,554,Alappuzha,1415,2146033,
320,32,Kerala,555,Ernakulam,2924,3427659,
321,32,Kerala,556,Idukki,4612,1093156,
322,32,Kerala,557,Kannur,2966,2615266,
323,32,Kerala,558,Kasaragod,1989,1390894,
324,32,Kerala,559,Kollam,2483,2659431,
325,32,Kerala,560,Kottayam,2206,1983573,
326,32,Kerala,561,Kozhikode,2345,3249761,
327,32,Kerala,562,Malappuram,3554,4494998,
328,32,Kerala,563,Palakkad,4482,2952254,
329,32,Kerala,564,Pathanamthitta,2652,1172212,
330,32,Kerala,565,Thiruvananthapuram,2189,3355148,
331,32,Kerala,566,Thrissur,3027,3243170,
332,32,Kerala,567,Wayanad,2130,846637,
333,37,Ladakh,6,Kargil,14086,140802,
334,37,Ladakh,9,Leh Ladakh,,,
335,31,Lakshadweep,553,Lakshadweep District,,,
336,23,Madhya Pradesh,667,Agar Malwa,2785,571275,205
337,23,Madhya Pradesh,639,Alirajpur,3182,728999,229
338,23,Madhya Pradesh,390,Anuppur,3746,749237,200
339,23,Madhya Pradesh,391,Ashoknagar,4674,845071,181
340,23,Madhya Pradesh,392,Balaghat,9229,1701698,184
341,23,Madhya Pradesh,393,Barwani,5432,1385881,255
342,23,Madhya Pradesh,394,Betul,10043,1575362,157
343,23,Madhya Pradesh,395,Bhind,4459,1703005,382
344,23,Madhya Pradesh,396,Bhopal,2772,2371061,855
345,23,Madhya Pradesh,397,Burhanpur,2473,757847,306
346,23,Madhya Pradesh,398,Chhatarpur,8687,1762375,203
347,23,Madhya Pradesh,399,Chhindwara,10293,1716612,177
348,23,Madhya Pradesh,400,Damoh,7306,1264219,173
349,23,Madhya Pradesh,401,Datia,2038,786754,386
350,23,Madhya Pradesh,402,Dewas,7020,1563715,223
351,23,Madhya Pradesh,403,Dhar,8153,2185793,268
352,23,Madhya Pradesh,404,Dindori,7427,704524,95
353,23,Madhya Pradesh,406,Guna,6485,1241519,191
354,23,Madhya Pradesh,407,Gwalior,5214,2032036,390
355,23,Madhya Pradesh,408,Harda,3339,570465,171
356,23,Madhya Pradesh,410,Indore,3898,3276697,841
357,23,Madhya Pradesh,411,Jabalpur,5210,2463289,473
358,23,Madhya Pradesh,412,Jhabua,6782,1025048,151
359,23,Madhya Pradesh,413,Katni,4927,1292042,262
360,23,Madhya Pradesh,405,Khandwa (East Nimar),,,
361,23,Madhya Pradesh,414,Khargone (West Nimar),,,
362,23,Madhya Pradesh,784,Maihar,2722.79,856028,314
363,23,Madhya Pradesh,415,Mandla,5805,1054905,182
364,23,Madhya Pradesh,416,Mandsaur,5530,1340411,242
365,23,Madhya Pradesh,766,Mauganj,1866,616645,331
366,23,Madhya Pradesh,417,Morena,4991,1965970,394
367,23,Madhya Pradesh,409,Narmadapuram,6698,1241350,185
368,23,Madhya Pradesh,418,Narsimhapur,,,
369,23,Madhya Pradesh,419,Neemuch,4267,826067,194
370,23,Madhya Pradesh,722,Niwari,1170,404807,346
371,23,Madhya Pradesh,785,Pandhurna,1522,374310,246
372,23,Madhya Pradesh,420,Panna,7135,1016520,142
373,23,Madhya Pradesh,421,Raisen,8446,1331597,158
374,23,Madhya Pradesh,422,Rajgarh,6154,1545814,251
375,23,Madhya Pradesh,423,Ratlam,4861,1455069,299
376,23,Madhya Pradesh,424,Rewa,6434,1748461,368
377,23,Madhya Pradesh,425,Sagar,10252,2378458,232
378,23,Madhya Pradesh,426,Satna,7502,2228935,297
379,23,Madhya Pradesh,427,Sehore,6578,1311332,199
380,23,Madhya Pradesh,428,Seoni,8758,1379131,157
381,23,Madhya Pradesh,429,Shahdol,6205,1066063,172
382,23,Madhya Pradesh,430,Shajapur,3460,941403,272
383,23,Madhya Pradesh,431,Sheopur,6585,687861,104
384,23,Madhya Pradesh,432,Shivpuri,10278,1726050,168
385,23,Madhya Pradesh,433,Sidhi,4851,1127033,230
386,23,Madhya Pradesh,638,Singrauli,5672,1178273,208
387,23,Madhya Pradesh,434,Tikamgarh,3878,1040359,268
388,23,Madhya Pradesh,435,Ujjain,6091,1986864,326
389,23,Madhya Pradesh,436,Umaria,4026,644758,160
390,23,Madhya Pradesh,437,Vidisha,7371,1458875,198
391,27,Maharashtra,466,Ahilyanagar,,,
392,27,Maharashtra,467,Akola,5428,1813906,300.78
393,27,Maharashtra,468,Amravati,12235,2888445,206.4
394,27,Maharashtra,470,Beed,10693,1200334,207.04
395,27,Maharashtra,471,Bhandara,3717,2585049,305.58
396,27,Maharashtra,472,Buldhana,9661,2586258,230.63
397,27,Maharashtra,473,Chandrapur,11443,2204307,193.65
398,27,Maharashtra,469,Chhatrapati Sambhajinagar,,,
399,27,Maharashtra,488,Dharashiv,,,
400,27,Maharashtra,474,Dhule,7195,2050862,211.83
401,27,Maharashtra,475,Gadchiroli,14412,1072942,67.33
402,27,Maharashtra,476,Gondia,5234,1322507,247.81
403,27,Maharashtra,477,Hingoli,4526,1177345,218.11
404,27,Maharashtra,478,Jalgaon,11765,4229917,312.79
405,27,Maharashtra,479,Jalna,7687,1959046,211.82
406,27,Maharashtra,480,Kolhapur,7685,3876001,457.44
407,27,Maharashtra,481,Latur,7157,2454196,282.19
408,27,Maharashtra,482,Mumbai,,,
409,27,Maharashtra,483,Mumbai Suburban,446,9356962,23271
410,27,Maharashtra,484,Nagpur,9892,4653570,409.36
411,27,Maharashtra,485,Nanded,10528,3361292,275.98
412,27,Maharashtra,486,Nandurbar,5955,1648295,260
413,27,Maharashtra,487,Nashik,15582,6107187,321.56
414,27,Maharashtra,665,Palghar,5344,2990116,562
415,27,Maharashtra,489,Parbhani,6251,1836086,244.4
416,27,Maharashtra,490,Pune,15643,9429408,461.85
417,27,Maharashtra,491,Raigad,7152,2634200,308.89
418,27,Maharashtra,492,Ratnagiri,8208,1615069,206.72
419,27,Maharashtra,493,Sangli,8578,2822143,301.18
420,27,Maharashtra,494,Satara,10480,3003741,266.77
421,27,Maharashtra,495,Sindhudurg,5207,849651,166.86
422,27,Maharashtra,496,Solapur,14895,4317756,259.32
423,27,Maharashtra,497,Thane,4214,8070032,850.71
424,27,Maharashtra,498,Wardha,6310,1300774,195.03
425,27,Maharashtra,499,Washim,5150,1197160,275.98
426,27,Maharashtra,500,Yavatmal,13582,2772348,152.93
427,14,Manipur,252,Bishnupur,496,240363,415
428,14,Manipur,253,Chandel,2100,144028,37
429,14,Manipur,254,Churachandpur,2392,271274,50
430,14,Manipur,255,Imphal East,497,452661,555
431,14,Manipur,256,Imphal West,519,514683,847
432,14,Manipur,713,Jiribam,182,43818,190
433,14,Manipur,711,Kakching,190,135481,
434,14,Manipur,717,Kamjong,2338,45616,23
435,14,Manipur,712,Kangpokpi,1698,,
436,14,Manipur,714,Noney,1076,,
437,14,Manipur,715,Pherzawl,2128,47250,21
438,14,Manipur,257,Senapati,1573,354772,116
439,14,Manipur,258,Tamenglong,3315,140143,25
440,14,Manipur,716,Tengnoupal,1213,,
441,14,Manipur,259,Thoubal,324,420517,713
442,14,Manipur,260,Ukhrul,2206,183115,31
443,17,Meghalaya,740,Eastern West Khasi Hills,1356.77,131451,
444,17,Meghalaya,273,East Garo Hills,1490,199592,
445,17,Meghalaya,657,East Jaintia Hills,2040,122939,
446,17,Meghalaya,274,East Khasi Hills,2752,825922,
447,17,Meghalaya,656,North Garo Hills,1113,118325,
448,17,Meghalaya,276,Ri-Bhoi,2378,258840,
449,17,Meghalaya,277,South Garo Hills,1850,142334,
